TIMESTAMP;TEMP_BXL_DA
01-01-15 01:00;1.1
01-01-15 02:00;0.8
01-01-15 03:00;0.7
01-01-15 04:00;0.8
01-01-15 05:00;0.7
01-01-15 06:00;0.4
01-01-15 07:00;0.3
01-01-15 08:00;0.2
01-01-15 09:00;0.1
01-01-15 10:00;0.4
01-01-15 11:00;1.2
01-01-15 12:00;1.9
01-01-15 13:00;2.5
01-01-15 14:00;2.9
01-01-15 15:00;3.2
01-01-15 16:00;3.1
01-01-15 17:00;2.5
01-01-15 18:00;2.2
01-01-15 19:00;2.1
01-01-15 20:00;2
01-01-15 21:00;2
01-01-15 22:00;2.1
01-01-15 23:00;2.3
02-01-15 00:00;2.7
02-01-15 01:00;2.4
02-01-15 02:00;2.6
02-01-15 03:00;3.1
02-01-15 04:00;3.3
02-01-15 05:00;3.3
02-01-15 06:00;4.1
02-01-15 07:00;4.9
02-01-15 08:00;5.2
02-01-15 09:00;5.8
02-01-15 10:00;6.8
02-01-15 11:00;7.6
02-01-15 12:00;8.3
02-01-15 13:00;8.8
02-01-15 14:00;8.4
02-01-15 15:00;7.7
02-01-15 16:00;7.5
02-01-15 17:00;6.9
02-01-15 18:00;5.9
02-01-15 19:00;5.2
02-01-15 20:00;4.9
02-01-15 21:00;4.5
02-01-15 22:00;4.2
02-01-15 23:00;3.7
03-01-15 00:00;3.3
03-01-15 01:00;2.2
03-01-15 02:00;2.2
03-01-15 03:00;2.3
03-01-15 04:00;2.2
03-01-15 05:00;2.2
03-01-15 06:00;2.3
03-01-15 07:00;2.4
03-01-15 08:00;2.3
03-01-15 09:00;2.2
03-01-15 10:00;2.2
03-01-15 11:00;2.6
03-01-15 12:00;3
03-01-15 13:00;3.5
03-01-15 14:00;4.9
03-01-15 15:00;5.9
03-01-15 16:00;5.7
03-01-15 17:00;5.6
03-01-15 18:00;5.1
03-01-15 19:00;4.3
03-01-15 20:00;3.9
03-01-15 21:00;3.8
03-01-15 22:00;3.7
03-01-15 23:00;3.6
04-01-15 00:00;3.5
04-01-15 01:00;3.2
04-01-15 02:00;3.4
04-01-15 03:00;3.1
04-01-15 04:00;2.8
04-01-15 05:00;2.3
04-01-15 06:00;1.8
04-01-15 07:00;1.7
04-01-15 08:00;1.8
04-01-15 09:00;2.1
04-01-15 10:00;2.8
04-01-15 11:00;3.5
04-01-15 12:00;4.2
04-01-15 13:00;5
04-01-15 14:00;5.2
04-01-15 15:00;5.2
04-01-15 16:00;4.9
04-01-15 17:00;3.9
04-01-15 18:00;2.9
04-01-15 19:00;2.2
04-01-15 20:00;1.7
04-01-15 21:00;1.4
04-01-15 22:00;1.1
04-01-15 23:00;0.8
05-01-15 00:00;0.5
05-01-15 01:00;0.6
05-01-15 02:00;0.5
05-01-15 03:00;0.4
05-01-15 04:00;0.2
05-01-15 05:00;-0.1
05-01-15 06:00;-0.4
05-01-15 07:00;-0.5
05-01-15 08:00;-0.4
05-01-15 09:00;-0.3
05-01-15 10:00;0.1
05-01-15 11:00;0.8
05-01-15 12:00;1.5
05-01-15 13:00;2.1
05-01-15 14:00;2.8
05-01-15 15:00;3.1
05-01-15 16:00;2.8
05-01-15 17:00;2.2
05-01-15 18:00;1.6
05-01-15 19:00;0.8
05-01-15 20:00;0.6
05-01-15 21:00;0.8
05-01-15 22:00;0.8
05-01-15 23:00;0.7
06-01-15 00:00;0.5
06-01-15 01:00;-1.3
06-01-15 02:00;-1.5
06-01-15 03:00;-1.4
06-01-15 04:00;-1.4
06-01-15 05:00;-1.7
06-01-15 06:00;-1.6
06-01-15 07:00;-1.3
06-01-15 08:00;-1.4
06-01-15 09:00;-1.2
06-01-15 10:00;-0.6
06-01-15 11:00;0.1
06-01-15 12:00;0.9
06-01-15 13:00;1.6
06-01-15 14:00;1.9
06-01-15 15:00;2.2
06-01-15 16:00;2.5
06-01-15 17:00;2.3
06-01-15 18:00;2.4
06-01-15 19:00;2.6
06-01-15 20:00;2.6
06-01-15 21:00;2.5
06-01-15 22:00;2.6
06-01-15 23:00;2.9
07-01-15 00:00;3.5
07-01-15 01:00;3.9
07-01-15 02:00;3.9
07-01-15 03:00;3.7
07-01-15 04:00;3.6
07-01-15 05:00;3.2
07-01-15 06:00;2.5
07-01-15 07:00;1.9
07-01-15 08:00;1.6
07-01-15 09:00;1.5
07-01-15 10:00;2
07-01-15 11:00;2.9
07-01-15 12:00;3.8
07-01-15 13:00;4.7
07-01-15 14:00;5
07-01-15 15:00;5
07-01-15 16:00;4.8
07-01-15 17:00;4
07-01-15 18:00;3.1
07-01-15 19:00;2.7
07-01-15 20:00;2.8
07-01-15 21:00;3.1
07-01-15 22:00;3.4
07-01-15 23:00;3.6
08-01-15 00:00;4
08-01-15 01:00;3.9
08-01-15 02:00;4.4
08-01-15 03:00;5.1
08-01-15 04:00;5.1
08-01-15 05:00;4.9
08-01-15 06:00;5.4
08-01-15 07:00;5.8
08-01-15 08:00;6
08-01-15 09:00;6.4
08-01-15 10:00;7
08-01-15 11:00;7.3
08-01-15 12:00;7.5
08-01-15 13:00;7.7
08-01-15 14:00;7.6
