;TEMP_Norm_BXL
01-01-12 01:00;3.5
01-01-12 02:00;3.4
01-01-12 03:00;3.3
01-01-12 04:00;3.2
01-01-12 05:00;3.1
01-01-12 06:00;3.1
01-01-12 07:00;3.0512
01-01-12 08:00;2.9189
01-01-12 09:00;2.8713
01-01-12 10:00;3.0286
01-01-12 11:00;3.33
01-01-12 12:00;3.8072
01-01-12 13:00;4.3729
01-01-12 14:00;4.852
01-01-12 15:00;5.1439
01-01-12 16:00;5.1481
01-01-12 17:00;4.9111
01-01-12 18:00;4.5894
01-01-12 19:00;4.3271
01-01-12 20:00;4.1336
01-01-12 21:00;3.9241
01-01-12 22:00;3.7695
01-01-12 23:00;3.6879
02-01-12 00:00;3.6038
02-01-12 01:00;3.5054
02-01-12 02:00;3.4044
02-01-12 03:00;3.3008
02-01-12 04:00;3.2092
02-01-12 05:00;3.138
02-01-12 06:00;3.0964
02-01-12 07:00;3.0456
02-01-12 08:00;2.9113
02-01-12 09:00;2.8657
02-01-12 10:00;3.0263
02-01-12 11:00;3.3269
02-01-12 12:00;3.8
02-01-12 13:00;4.3666
02-01-12 14:00;4.853
02-01-12 15:00;5.1515
02-01-12 16:00;5.1572
02-01-12 17:00;4.9173
02-01-12 18:00;4.594
02-01-12 19:00;4.3328
02-01-12 20:00;4.1379
02-01-12 21:00;3.9249
02-01-12 22:00;3.7679
02-01-12 23:00;3.6855
03-01-12 00:00;3.6019
03-01-12 01:00;3.504
03-01-12 02:00;3.4042
03-01-12 03:00;3.2979
03-01-12 04:00;3.2043
03-01-12 05:00;3.1333
03-01-12 06:00;3.0936
03-01-12 07:00;3.0422
03-01-12 08:00;2.9059
03-01-12 09:00;2.8621
03-01-12 10:00;3.0259
03-01-12 11:00;3.3258
03-01-12 12:00;3.7951
03-01-12 13:00;4.3628
03-01-12 14:00;4.8566
03-01-12 15:00;5.1619
03-01-12 16:00;5.1689
03-01-12 17:00;4.9263
03-01-12 18:00;4.6013
03-01-12 19:00;4.3412
03-01-12 20:00;4.1448
03-01-12 21:00;3.9281
03-01-12 22:00;3.7686
03-01-12 23:00;3.6853
04-01-12 00:00;3.6023
04-01-12 01:00;3.505
04-01-12 02:00;3.4061
04-01-12 03:00;3.2971
04-01-12 04:00;3.2015
04-01-12 05:00;3.1307
04-01-12 06:00;3.0928
04-01-12 07:00;3.0407
04-01-12 08:00;2.9025
04-01-12 09:00;2.8606
04-01-12 10:00;3.0273
04-01-12 11:00;3.3268
04-01-12 12:00;3.7924
04-01-12 13:00;4.3614
04-01-12 14:00;4.8627
04-01-12 15:00;5.1748
04-01-12 16:00;5.1833
04-01-12 17:00;4.9379
04-01-12 18:00;4.6112
04-01-12 19:00;4.352
04-01-12 20:00;4.154
04-01-12 21:00;3.9336
04-01-12 22:00;3.7716
04-01-12 23:00;3.6874
05-01-12 00:00;3.6049
05-01-12 01:00;3.5082
05-01-12 02:00;3.4101
05-01-12 03:00;3.2984
05-01-12 04:00;3.2007
05-01-12 05:00;3.1301
05-01-12 06:00;3.0941
05-01-12 07:00;3.0412
05-01-12 08:00;2.901
05-01-12 09:00;2.8608
05-01-12 10:00;3.0306
05-01-12 11:00;3.3296
05-01-12 12:00;3.7918
05-01-12 13:00;4.3623
05-01-12 14:00;4.8712
05-01-12 15:00;5.1901
05-01-12 16:00;5.2
05-01-12 17:00;4.9519
05-01-12 18:00;4.6236
05-01-12 19:00;4.3652
05-01-12 20:00;4.1654
05-01-12 21:00;3.9413
05-01-12 22:00;3.7766
05-01-12 23:00;3.6915
06-01-12 00:00;3.6095
06-01-12 01:00;3.5134
06-01-12 02:00;3.4159
06-01-12 03:00;3.3015
06-01-12 04:00;3.2018
06-01-12 05:00;3.1314
06-01-12 06:00;3.0972
06-01-12 07:00;3.0436
06-01-12 08:00;2.9014
06-01-12 09:00;2.8628
06-01-12 10:00;3.0354
06-01-12 11:00;3.3341
06-01-12 12:00;3.7932
06-01-12 13:00;4.3653
06-01-12 14:00;4.882
06-01-12 15:00;5.2076
06-01-12 16:00;5.219
06-01-12 17:00;4.9683
06-01-12 18:00;4.6383
06-01-12 19:00;4.3807
06-01-12 20:00;4.179
06-01-12 21:00;3.951
06-01-12 22:00;3.7837
06-01-12 23:00;3.6975
07-01-12 00:00;3.6161
07-01-12 01:00;3.5206
07-01-12 02:00;3.4236
07-01-12 03:00;3.3065
07-01-12 04:00;3.2046
07-01-12 05:00;3.1345
07-01-12 06:00;3.1021
07-01-12 07:00;3.0476
07-01-12 08:00;2.9034
07-01-12 09:00;2.8664
07-01-12 10:00;3.0418
07-01-12 11:00;3.3404
07-01-12 12:00;3.7965
07-01-12 13:00;4.3704
07-01-12 14:00;4.8948
07-01-12 15:00;5.2273
07-01-12 16:00;5.2402
07-01-12 17:00;4.9869
07-01-12 18:00;4.6553
07-01-12 19:00;4.3984
07-01-12 20:00;4.1945
07-01-12 21:00;3.9627
07-01-12 22:00;3.7928
07-01-12 23:00;3.7054
08-01-12 00:00;3.6245
08-01-12 01:00;3.5295
08-01-12 02:00;3.433
08-01-12 03:00;3.3131
08-01-12 04:00;3.2092
08-01-12 05:00;3.1392
08-01-12 06:00;3.1087
08-01-12 07:00;3.0532
08-01-12 08:00;2.907
08-01-12 09:00;2.8715
08-01-12 10:00;3.0496
08-01-12 11:00;3.3481
08-01-12 12:00;3.8015
08-01-12 13:00;4.3774
08-01-12 14:00;4.9097
08-01-12 15:00;5.2489
08-01-12 16:00;5.2633
08-01-12 17:00;5.0076
08-01-12 18:00;4.6745
08-01-12 19:00;4.4181
08-01-12 20:00;4.212
08-01-12 21:00;3.9763
08-01-12 22:00;3.8035
08-01-12 23:00;3.7151
09-01-12 00:00;3.6346
09-01-12 01:00;3.5402
09-01-12 02:00;3.4439
09-01-12 03:00;3.3213
09-01-12 04:00;3.2153
09-01-12 05:00;3.1456
09-01-12 06:00;3.1167
09-01-12 07:00;3.0603
09-01-12 08:00;2.9121
09-01-12 09:00;2.878
09-01-12 10:00;3.0587
09-01-12 11:00;3.3574
09-01-12 12:00;3.8083
09-01-12 13:00;4.3862
09-01-12 14:00;4.9264
09-01-12 15:00;5.2723
09-01-12 16:00;5.2883
09-01-12 17:00;5.0302
09-01-12 18:00;4.6957
09-01-12 19:00;4.4397
09-01-12 20:00;4.2313
09-01-12 21:00;3.9915
09-01-12 22:00;3.816
09-01-12 23:00;3.7263
10-01-12 00:00;3.6463
10-01-12 01:00;3.5525
10-01-12 02:00;3.4563
10-01-12 03:00;3.3309
10-01-12 04:00;3.2229
10-01-12 05:00;3.1534
10-01-12 06:00;3.1262
10-01-12 07:00;3.0688
10-01-12 08:00;2.9186
10-01-12 09:00;2.8858
10-01-12 10:00;3.069
10-01-12 11:00;3.368
10-01-12 12:00;3.8166
10-01-12 13:00;4.3968
10-01-12 14:00;4.9448
10-01-12 15:00;5.2974
10-01-12 16:00;5.3151
10-01-12 17:00;5.0547
10-01-12 18:00;4.7187
10-01-12 19:00;4.4632
10-01-12 20:00;4.2522
10-01-12 21:00;4.0084
10-01-12 22:00;3.83
10-01-12 23:00;3.7391
11-01-12 00:00;3.6595
11-01-12 01:00;3.5662
11-01-12 02:00;3.47
11-01-12 03:00;3.3418
11-01-12 04:00;3.2318
11-01-12 05:00;3.1625
11-01-12 06:00;3.137
11-01-12 07:00;3.0785
11-01-12 08:00;2.9263
11-01-12 09:00;2.8947
11-01-12 10:00;3.0803
11-01-12 11:00;3.3798
11-01-12 12:00;3.8264
11-01-12 13:00;4.4089
11-01-12 14:00;4.9648
11-01-12 15:00;5.324
11-01-12 16:00;5.3434
11-01-12 17:00;5.0809
11-01-12 18:00;4.7436
11-01-12 19:00;4.4883
11-01-12 20:00;4.2747
11-01-12 21:00;4.0267
11-01-12 22:00;3.8455
11-01-12 23:00;3.7532
12-01-12 00:00;3.674
12-01-12 01:00;3.5813
12-01-12 02:00;3.4849
12-01-12 03:00;3.354
12-01-12 04:00;3.2419
12-01-12 05:00;3.1728
12-01-12 06:00;3.1489
12-01-12 07:00;3.0893
12-01-12 08:00;2.9351
12-01-12 09:00;2.9046
12-01-12 10:00;3.0927
12-01-12 11:00;3.3928
12-01-12 12:00;3.8376
12-01-12 13:00;4.4226
12-01-12 14:00;4.9863
12-01-12 15:00;5.3521
12-01-12 16:00;5.3731
12-01-12 17:00;5.1088
12-01-12 18:00;4.7701
12-01-12 19:00;4.5151
12-01-12 20:00;4.2987
12-01-12 21:00;4.0465
12-01-12 22:00;3.8623
12-01-12 23:00;3.7686
13-01-12 00:00;3.6898
13-01-12 01:00;3.5976
13-01-12 02:00;3.5009
13-01-12 03:00;3.3672
13-01-12 04:00;3.2532
13-01-12 05:00;3.1843
13-01-12 06:00;3.1619
13-01-12 07:00;3.1011
13-01-12 08:00;2.9449
13-01-12 09:00;2.9155
13-01-12 10:00;3.1059
13-01-12 11:00;3.4069
13-01-12 12:00;3.8502
13-01-12 13:00;4.4376
13-01-12 14:00;5.0092
13-01-12 15:00;5.3815
13-01-12 16:00;5.4043
13-01-12 17:00;5.1381
13-01-12 18:00;4.7983
13-01-12 19:00;4.5434
13-01-12 20:00;4.324
13-01-12 21:00;4.0675
13-01-12 22:00;3.8803
13-01-12 23:00;3.7852
14-01-12 00:00;3.7067
14-01-12 01:00;3.615
14-01-12 02:00;3.5178
14-01-12 03:00;3.3814
14-01-12 04:00;3.2654
14-01-12 05:00;3.1968
14-01-12 06:00;3.1759
14-01-12 07:00;3.1138
14-01-12 08:00;2.9555
14-01-12 09:00;2.9271
14-01-12 10:00;3.1199
14-01-12 11:00;3.4219
14-01-12 12:00;3.864
14-01-12 13:00;4.454
14-01-12 14:00;5.0334
14-01-12 15:00;5.4121
14-01-12 16:00;5.4366
14-01-12 17:00;5.1687
14-01-12 18:00;4.8279
14-01-12 19:00;4.5731
14-01-12 20:00;4.3506
14-01-12 21:00;4.0897
14-01-12 22:00;3.8994
14-01-12 23:00;3.8029
15-01-12 00:00;3.7247
15-01-12 01:00;3.6334
15-01-12 02:00;3.5356
15-01-12 03:00;3.3964
15-01-12 04:00;3.2785
15-01-12 05:00;3.2101
15-01-12 06:00;3.1906
15-01-12 07:00;3.1272
15-01-12 08:00;2.967
15-01-12 09:00;2.9395
15-01-12 10:00;3.1346
15-01-12 11:00;3.4379
15-01-12 12:00;3.8789
15-01-12 13:00;4.4716
15-01-12 14:00;5.0587
15-01-12 15:00;5.4437
15-01-12 16:00;5.47
15-01-12 17:00;5.2007
15-01-12 18:00;4.8589
15-01-12 19:00;4.6041
15-01-12 20:00;4.3783
15-01-12 21:00;4.113
15-01-12 22:00;3.9196
15-01-12 23:00;3.8215
16-01-12 00:00;3.7436
16-01-12 01:00;3.6526
16-01-12 02:00;3.5541
16-01-12 03:00;3.4122
16-01-12 04:00;3.2924
16-01-12 05:00;3.2243
16-01-12 06:00;3.2061
16-01-12 07:00;3.1413
16-01-12 08:00;2.9791
16-01-12 09:00;2.9525
16-01-12 10:00;3.1498
16-01-12 11:00;3.4547
16-01-12 12:00;3.8949
16-01-12 13:00;4.4904
16-01-12 14:00;5.085
16-01-12 15:00;5.4762
16-01-12 16:00;5.5045
16-01-12 17:00;5.2339
16-01-12 18:00;4.8912
16-01-12 19:00;4.6363
16-01-12 20:00;4.4071
16-01-12 21:00;4.1373
16-01-12 22:00;3.9407
16-01-12 23:00;3.8409
17-01-12 00:00;3.7633
17-01-12 01:00;3.6727
17-01-12 02:00;3.5733
17-01-12 03:00;3.4287
17-01-12 04:00;3.3069
17-01-12 05:00;3.2391
17-01-12 06:00;3.2222
17-01-12 07:00;3.1559
17-01-12 08:00;2.9917
17-01-12 09:00;2.966
17-01-12 10:00;3.1656
17-01-12 11:00;3.4722
17-01-12 12:00;3.912
17-01-12 13:00;4.5102
17-01-12 14:00;5.1123
17-01-12 15:00;5.5097
17-01-12 16:00;5.5398
17-01-12 17:00;5.2681
17-01-12 18:00;4.9247
17-01-12 19:00;4.6697
17-01-12 20:00;4.4369
17-01-12 21:00;4.1624
17-01-12 22:00;3.9626
17-01-12 23:00;3.8612
18-01-12 00:00;3.7837
18-01-12 01:00;3.6934
18-01-12 02:00;3.593
18-01-12 03:00;3.4456
18-01-12 04:00;3.3221
18-01-12 05:00;3.2545
18-01-12 06:00;3.2388
18-01-12 07:00;3.171
18-01-12 08:00;3.0048
18-01-12 09:00;2.9799
18-01-12 10:00;3.1818
18-01-12 11:00;3.4904
18-01-12 12:00;3.93
18-01-12 13:00;4.531
18-01-12 14:00;5.1405
18-01-12 15:00;5.5438
18-01-12 16:00;5.576
18-01-12 17:00;5.3034
18-01-12 18:00;4.9594
18-01-12 19:00;4.7041
18-01-12 20:00;4.4676
18-01-12 21:00;4.1884
18-01-12 22:00;3.9853
18-01-12 23:00;3.8822
19-01-12 00:00;3.8047
19-01-12 01:00;3.7147
19-01-12 02:00;3.6131
19-01-12 03:00;3.4631
19-01-12 04:00;3.3377
19-01-12 05:00;3.2704
19-01-12 06:00;3.2559
19-01-12 07:00;3.1864
19-01-12 08:00;3.0183
19-01-12 09:00;2.9941
19-01-12 10:00;3.1984
19-01-12 11:00;3.5093
19-01-12 12:00;3.9489
19-01-12 13:00;4.5528
19-01-12 14:00;5.1695
19-01-12 15:00;5.5787
19-01-12 16:00;5.6129
19-01-12 17:00;5.3396
19-01-12 18:00;4.9951
19-01-12 19:00;4.7395
19-01-12 20:00;4.499
19-01-12 21:00;4.2151
19-01-12 22:00;4.0087
19-01-12 23:00;3.9037
20-01-12 00:00;3.8263
20-01-12 01:00;3.7364
20-01-12 02:00;3.6336
20-01-12 03:00;3.4809
20-01-12 04:00;3.3537
20-01-12 05:00;3.2867
20-01-12 06:00;3.2732
20-01-12 07:00;3.202
20-01-12 08:00;3.032
20-01-12 09:00;3.0086
20-01-12 10:00;3.2153
20-01-12 11:00;3.5287
20-01-12 12:00;3.9686
20-01-12 13:00;4.5755
20-01-12 14:00;5.1993
20-01-12 15:00;5.6141
20-01-12 16:00;5.6504
20-01-12 17:00;5.3766
20-01-12 18:00;5.0319
20-01-12 19:00;4.7758
20-01-12 20:00;4.5313
20-01-12 21:00;4.2425
20-01-12 22:00;4.0326
20-01-12 23:00;3.9258
21-01-12 00:00;3.8484
21-01-12 01:00;3.7586
21-01-12 02:00;3.6543
21-01-12 03:00;3.499
21-01-12 04:00;3.3701
21-01-12 05:00;3.3033
21-01-12 06:00;3.2907
21-01-12 07:00;3.2177
