;SOLAR_OBS_Uccle;SOLAR_OBS_Retie;SOLAR_OBS_ST-Kat_Waver;SOLAR_OBS_Diepenbeek;SOLAR_OBS_Mt-Rigi;SOLAR_OBS_Ernage;SOLAR_OBS_Dourbes;SOLAR_OBS_Buzenol;SOLAR_OBS_St-Hubert;SOLAR_OBS_Humain;SOLAR_OBS_Middlekerke;SOLAR_OBS_Beitem;SOLAR_OBS_Melle
03.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 09:00;11;0;2.8;0;8.3;11.1;0;13.9;106.4;0;2.8;5.6;8
03.02.2015 10:00;81;25;30.6;25;55.6;83.3;50;133.3;228.3;19.4;55.6;61.1;67
03.02.2015 11:00;125;152.8;100;50;186.1;172.2;105.6;141.7;327.8;63.9;188.9;177.8;178
03.02.2015 12:00;203;216.7;144.4;155.6;177.8;222.2;91.7;141.7;388.9;130.6;238.9;305.6;222
03.02.2015 13:00;208;216.7;222.2;238.9;183.3;244.4;211.1;202.8;311.4;113.9;197.2;405.6;306
03.02.2015 14:00;219;125;133.3;152.8;102.8;194.4;205.6;122.2;36.4;177.8;173.6;402.8;319
03.02.2015 15:00;228;122.2;111.1;169.4;100;197.2;288.9;166.7;28.1;219.4;150;305.6;106
03.02.2015 16:00;125;94.4;130.6;97.2;63.9;94.4;86.1;138.9;16.9;75;188.9;83.3;106
03.02.2015 17:00;69;33.3;80.6;52.8;33.3;72.2;41.7;52.8;42.8;27.8;88.9;33.3;64
03.02.2015 18:00;14;2.8;5.6;2.8;2.8;2.8;0;2.8;0;2.8;11.1;13.9;8
03.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 09:00;11;0;2.8;5.6;22.2;19.4;16.7;8.3;115;16.7;13.9;25;8
04.02.2015 10:00;97;41.7;75;69.4;111.1;83.3;136.1;2.8;235.6;119.4;116.7;113.9;114
04.02.2015 11:00;256;238.9;194.4;150;141.7;197.2;266.7;16.7;332.5;222.2;191.7;244.4;239
04.02.2015 12:00;342;330.6;277.8;313.9;286.1;352.8;366.7;0;390.3;275;241.7;344.4;336
04.02.2015 13:00;394;313.9;269.4;386.1;441.7;397.2;419.4;22.2;259.2;344.4;361.1;430.6;386
04.02.2015 14:00;281;272.2;186.1;333.3;422.2;405.6;263.9;13.9;358.3;263.9;238.9;280.6;181
04.02.2015 15:00;283;75;230.6;97.2;372.2;311.1;233.3;16.7;27.5;169.4;152.8;302.8;272
04.02.2015 16:00;131;177.8;94.4;163.9;194.4;122.2;180.6;11.1;49.7;138.9;63.9;208.3;147
04.02.2015 17:00;31;108.3;69.4;75;69.4;52.8;41.7;25;33.3;119.4;22.2;22.2;106
04.02.2015 18:00;8;2.8;5.6;11.1;5.6;2.8;2.8;2.8;0;5.6;2.8;2.8;0
04.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 09:00;11;2.8;2.8;5.6;47.2;13.9;13.9;0;57.2;19.4;16.7;8.3;0
05.02.2015 10:00;44;38.9;25;55.6;269.4;63.9;113.9;27.8;238.1;138.9;113.9;77.8;75
05.02.2015 11:00;56;158.3;122.2;75;388.9;211.1;219.4;30.6;332.5;238.9;308.3;125;106
05.02.2015 12:00;272;141.7;213.9;108.3;366.7;269.4;347.2;61.1;39.7;308.3;288.9;258.3;108
05.02.2015 13:00;228;119.4;208.3;233.3;305.6;227.8;338.9;61.1;408.9;336.1;419.4;222.2;319
05.02.2015 14:00;156;138.9;200;166.7;363.9;197.2;200;61.1;369.7;194.4;302.8;338.9;178
05.02.2015 15:00;228;163.9;166.7;88.9;197.2;230.6;116.7;63.9;286.1;172.2;294.4;305.6;89
05.02.2015 16:00;50;36.1;61.1;47.2;133.3;50;86.1;38.9;171.9;138.9;180.6;186.1;111
05.02.2015 17:00;31;16.7;19.4;22.2;75;22.2;55.6;16.7;44.7;52.8;83.3;88.9;86
05.02.2015 18:00;0;0;0;2.8;8.3;5.6;2.8;0;0;8.3;2.8;16.7;14
05.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 09:00;6;0;2.8;25;16.7;2.8;19.4;16.7;111.9;13.9;11.1;16.7;8
06.02.2015 10:00;53;0;38.9;125;72.2;75;108.3;69.4;237.5;111.1;122.2;69.4;47
06.02.2015 11:00;133;0;138.9;180.6;125;208.3;236.1;33.3;341.7;175;244.4;205.6;169
06.02.2015 12:00;219;0;211.1;269.4;191.7;169.4;163.9;27.8;408.1;219.4;358.3;369.4;364
06.02.2015 13:00;322;0;330.6;336.1;394.4;191.7;213.9;33.3;425.8;341.7;411.1;405.6;369
06.02.2015 14:00;383;0;322.2;386.1;413.9;316.7;333.3;50;391.9;347.2;402.8;391.7;397
06.02.2015 15:00;333;0;291.7;330.6;380.6;338.9;333.3;69.4;311.9;297.2;350;350;347
06.02.2015 16:00;236;0;208.3;227.8;280.6;244.4;238.9;61.1;199.2;216.7;258.3;263.9;250
06.02.2015 17:00;56;0;105.6;100;136.1;119.4;111.1;72.2;70.6;105.6;130.6;144.4;125
06.02.2015 18:00;8;0;13.9;8.3;16.7;16.7;11.1;5.6;0;13.9;22.2;22.2;17
06.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 09:00;14;0;8.3;27.8;41.7;27.8;16.7;13.9;11.1;19.4;25;19.4;19
07.02.2015 10:00;128;0;102.8;144.4;177.8;136.1;144.4;77.8;23.9;133.3;141.7;144.4;142
07.02.2015 11:00;275;0;219.4;277.8;311.1;275;269.4;52.8;107.8;236.1;263.9;275;272
07.02.2015 12:00;378;0;302.8;369.4;408.3;375;377.8;91.7;41.7;316.7;319.4;380.6;369
07.02.2015 13:00;419;0;341.7;408.3;463.9;430.6;433.3;36.1;43.9;355.6;288.9;330.6;289
07.02.2015 14:00;392;0;244.4;394.4;447.2;419.4;408.3;52.8;127.2;350;380.6;291.7;175
07.02.2015 15:00;339;0;180.6;347.2;350;361.1;336.1;41.7;103.3;291.7;261.1;191.7;181
07.02.2015 16:00;103;0;63.9;133.3;269.4;219.4;247.2;16.7;21.9;211.1;147.2;119.4;89
07.02.2015 17:00;22;0;19.4;36.1;102.8;22.2;116.7;33.3;90.6;108.3;38.9;52.8;33
07.02.2015 18:00;3;0;2.8;2.8;5.6;2.8;5.6;5.6;0;16.7;8.3;5.6;3
07.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 09:00;11;0;5.6;8.3;5.6;8.3;5.6;0;16.7;8.3;11.1;19.4;14
08.02.2015 10:00;44;0;30.6;44.4;55.6;36.1;27.8;13.9;41.7;47.2;80.6;122.2;56
08.02.2015 11:00;56;0;75;91.7;88.9;83.3;55.6;27.8;35.3;77.8;219.4;180.6;81
08.02.2015 12:00;181;0;147.2;163.9;122.2;150;116.7;50;42.2;127.8;325;141.7;175
08.02.2015 13:00;214;0;205.6;211.1;127.8;230.6;205.6;61.1;130.6;144.4;363.9;297.2;267
08.02.2015 14:00;261;0;216.7;225;233.3;294.4;230.6;75;88.9;100;330.6;341.7;306
08.02.2015 15:00;275;0;211.1;219.4;238.9;272.2;233.3;58.3;33.3;208.3;341.7;266.7;244
08.02.2015 16:00;203;0;155.6;116.7;166.7;261.1;158.3;44.4;63.9;152.8;258.3;163.9;172
08.02.2015 17:00;64;0;100;97.2;97.2;127.8;69.4;2.8;8.9;72.2;116.7;100;83
08.02.2015 18:00;14;0;8.3;13.9;8.3;16.7;5.6;2.8;0;8.3;13.9;16.7;8
08.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 09:00;6;0;2.8;8.3;8.3;2.8;0;5.6;12.8;0;2.8;0;3
09.02.2015 10:00;42;0;55.6;38.9;41.7;38.9;2.8;13.9;25.3;5.6;22.2;36.1;86
09.02.2015 11:00;131;0;102.8;72.2;94.4;75;41.7;11.1;35.8;33.3;52.8;66.7;250
09.02.2015 12:00;108;0;83.3;83.3;100;150;63.9;19.4;42.2;97.2;100;111.1;275
09.02.2015 13:00;58;0;36.1;72.2;86.1;188.9;136.1;30.6;43.6;97.2;136.1;113.9;97
09.02.2015 14:00;53;0;63.9;72.2;80.6;100;155.6;102.8;40;108.3;86.1;102.8;44
09.02.2015 15:00;36;0;75;55.6;83.3;50;147.2;25;31.7;69.4;50;63.9;44
09.02.2015 16:00;61;0;44.4;27.8;50;55.6;88.9;33.3;20;38.9;25;36.1;25
09.02.2015 17:00;31;0;11.1;11.1;16.7;36.1;11.1;8.3;7.2;16.7;2.8;8.3;14
09.02.2015 18:00;0;0;0;0;2.8;2.8;0;0;0;0;2.8;0;3
09.02.2015 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2015 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2015 09:00;8;0;0;11.1;16.7;8.3;2.8;2.8;30.6;0;0;5.6;3
10.02.2015 10:00;28;0;25;36.1;52.8;44.4;33.3;5.6;55.6;38.9;11.1;61.1;17
10.02.2015 11:00;106;0;122.2;88.9;113.9;86.1;50;5.6;36.1;63.9;44.4;108.3;69
10.02.2015 12:00;128;0;88.9;83.3;113.9;94.4;108.3;5.6;42.2;63.9;125;152.8;89
10.02.2015 13:00;64;0;61.1;63.9;125;86.1;72.2;19.4;134.2;52.8;86.1;113.9;72
