;SOLAR_wAvg_12st_BXL;SOLAR_wAvg_12st_FLA;SOLAR_wAvg_12st_WAL
01.09.2015 00:15;0;0;0
01.09.2015 00:30;0;0;0
01.09.2015 00:45;0;0;0
01.09.2015 01:00;0;0;0
01.09.2015 01:15;0;0;0
01.09.2015 01:30;0;0;0
01.09.2015 01:45;0;0;0
01.09.2015 02:00;0;0;0
01.09.2015 02:15;0;0;0
01.09.2015 02:30;0;0;0
01.09.2015 02:45;0;0;0
01.09.2015 03:00;0;0;0
01.09.2015 03:15;0;0;0
01.09.2015 03:30;0;0;0
01.09.2015 03:45;0;0;0
01.09.2015 04:00;0;0;0
01.09.2015 04:15;0;0;0
01.09.2015 04:30;0;0;0
01.09.2015 04:45;0;0;0
01.09.2015 05:00;0;0;0
01.09.2015 05:15;0;0;0
01.09.2015 05:30;0;0;0
01.09.2015 05:45;0;0;0
01.09.2015 06:00;0;0;0
01.09.2015 06:15;0;0;0
01.09.2015 06:30;0;0;0
01.09.2015 06:45;0;0;0
01.09.2015 07:00;0;0;0
01.09.2015 07:15;0;4;2.38579
01.09.2015 07:30;0;4;2.38579
01.09.2015 07:45;0;4;2.38579
01.09.2015 08:00;0;4;2.38579
01.09.2015 08:15;31;34;25.06432
01.09.2015 08:30;31;34;25.06432
01.09.2015 08:45;31;34;25.06432
01.09.2015 09:00;31;34;25.06432
01.09.2015 09:15;115;93;53.75429
01.09.2015 09:30;115;93;53.75429
01.09.2015 09:45;115;93;53.75429
01.09.2015 10:00;115;93;53.75429
01.09.2015 10:15;127.95;137;93.51682
01.09.2015 10:30;127.95;137;93.51682
01.09.2015 10:45;127.95;137;93.51682
01.09.2015 11:00;127.95;137;93.51682
01.09.2015 11:15;196;184;132.24833
01.09.2015 11:30;196;184;132.24833
01.09.2015 11:45;196;184;132.24833
01.09.2015 12:00;196;184;132.24833
01.09.2015 12:15;267;299;208.35708
01.09.2015 12:30;267;299;208.35708
01.09.2015 12:45;267;299;208.35708
01.09.2015 13:00;267;299;208.35708
01.09.2015 13:15;205;278;230.05662
01.09.2015 13:30;205;278;230.05662
01.09.2015 13:45;205;278;230.05662
01.09.2015 14:00;205;278;230.05662
01.09.2015 14:15;280;315;290.05324
01.09.2015 14:30;280;315;290.05324
01.09.2015 14:45;280;315;290.05324
01.09.2015 15:00;280;315;290.05324
01.09.2015 15:15;212;313;261.04038
01.09.2015 15:30;212;313;261.04038
01.09.2015 15:45;212;313;261.04038
01.09.2015 16:00;212;313;261.04038
01.09.2015 16:15;204;321;197.08731
01.09.2015 16:30;204;321;197.08731
01.09.2015 16:45;204;321;197.08731
01.09.2015 17:00;204;321;197.08731
01.09.2015 17:15;192;271;137.17245
01.09.2015 17:30;192;271;137.17245
01.09.2015 17:45;192;271;137.17245
01.09.2015 18:00;192;271;137.17245
01.09.2015 18:15;146.7;165;88.31819
01.09.2015 18:30;146.7;165;88.31819
01.09.2015 18:45;146.7;165;88.31819
01.09.2015 19:00;146.7;165;88.31819
01.09.2015 19:15;64;66;42.98706
01.09.2015 19:30;64;66;42.98706
01.09.2015 19:45;64;66;42.98706
01.09.2015 20:00;64;66;42.98706
01.09.2015 20:15;5.2;2;2.46312
01.09.2015 20:30;5.2;2;2.46312
01.09.2015 20:45;5.2;2;2.46312
01.09.2015 21:00;5.2;2;2.46312
01.09.2015 21:15;0;0;0
01.09.2015 21:30;0;0;0
01.09.2015 21:45;0;0;0
01.09.2015 22:00;0;0;0
01.09.2015 22:15;0;0;0
01.09.2015 22:30;0;0;0
01.09.2015 22:45;0;0;0
01.09.2015 23:00;0;0;0
01.09.2015 23:15;0;0;0
01.09.2015 23:30;0;0;0
01.09.2015 23:45;0;0;0
02.09.2015 00:00;0;0;0
02.09.2015 00:15;0;0;0
02.09.2015 00:30;0;0;0
02.09.2015 00:45;0;0;0
02.09.2015 01:00;0;0;0
02.09.2015 01:15;0;0;0
02.09.2015 01:30;0;0;0
02.09.2015 01:45;0;0;0
02.09.2015 02:00;0;0;0
02.09.2015 02:15;0;0;0
02.09.2015 02:30;0;0;0
02.09.2015 02:45;0;0;0
02.09.2015 03:00;0;0;0
02.09.2015 03:15;0;0;0
02.09.2015 03:30;0;0;0
02.09.2015 03:45;0;0;0
02.09.2015 04:00;0;0;0
02.09.2015 04:15;0;0;0
02.09.2015 04:30;0;0;0
02.09.2015 04:45;0;0;0
02.09.2015 05:00;0;0;0
02.09.2015 05:15;0;0;0
02.09.2015 05:30;0;0;0
02.09.2015 05:45;0;0;0
02.09.2015 06:00;0;0;0
02.09.2015 06:15;0;0;0
02.09.2015 06:30;0;0;0
02.09.2015 06:45;0;0;0
02.09.2015 07:00;0;0;0
02.09.2015 07:15;20;24;24.16901
02.09.2015 07:30;20;24;24.16901
02.09.2015 07:45;20;24;24.16901
02.09.2015 08:00;20;24;24.16901
02.09.2015 08:15;112;116;121.47328
02.09.2015 08:30;112;116;121.47328
02.09.2015 08:45;112;116;121.47328
02.09.2015 09:00;112;116;121.47328
02.09.2015 09:15;225.25;245;259.41153
02.09.2015 09:30;225.25;245;259.41153
02.09.2015 09:45;225.25;245;259.41153
02.09.2015 10:00;225.25;245;259.41153
02.09.2015 10:15;348;367;355.46815
02.09.2015 10:30;348;367;355.46815
02.09.2015 10:45;348;367;355.46815
02.09.2015 11:00;348;367;355.46815
02.09.2015 11:15;480.2;456;507.95976
02.09.2015 11:30;480.2;456;507.95976
02.09.2015 11:45;480.2;456;507.95976
02.09.2015 12:00;480.2;456;507.95976
02.09.2015 12:15;579;442;483.19529
02.09.2015 12:30;579;442;483.19529
02.09.2015 12:45;579;442;483.19529
02.09.2015 13:00;579;442;483.19529
02.09.2015 13:15;472;386;529.60937
02.09.2015 13:30;472;386;529.60937
02.09.2015 13:45;472;386;529.60937
02.09.2015 14:00;472;386;529.60937
02.09.2015 14:15;235.85;370;481.95177
02.09.2015 14:30;235.85;370;481.95177
02.09.2015 14:45;235.85;370;481.95177
02.09.2015 15:00;235.85;370;481.95177
02.09.2015 15:15;172;233;347.65992
02.09.2015 15:30;172;233;347.65992
02.09.2015 15:45;172;233;347.65992
02.09.2015 16:00;172;233;347.65992
02.09.2015 16:15;274;172;312.98466
02.09.2015 16:30;274;172;312.98466
02.09.2015 16:45;274;172;312.98466
02.09.2015 17:00;274;172;312.98466
02.09.2015 17:15;62;93;169.08197
02.09.2015 17:30;62;93;169.08197
02.09.2015 17:45;62;93;169.08197
02.09.2015 18:00;62;93;169.08197
02.09.2015 18:15;37.05;98;86.1544
02.09.2015 18:30;37.05;98;86.1544
02.09.2015 18:45;37.05;98;86.1544
02.09.2015 19:00;37.05;98;86.1544
02.09.2015 19:15;11.2;21;23.28294
02.09.2015 19:30;11.2;21;23.28294
02.09.2015 19:45;11.2;21;23.28294
02.09.2015 20:00;11.2;21;23.28294
02.09.2015 20:15;0;0;0.462
02.09.2015 20:30;0;0;0.462
02.09.2015 20:45;0;0;0.462
02.09.2015 21:00;0;0;0.462
02.09.2015 21:15;0;0;0
02.09.2015 21:30;0;0;0
02.09.2015 21:45;0;0;0
02.09.2015 22:00;0;0;0
02.09.2015 22:15;0;0;0
02.09.2015 22:30;0;0;0
02.09.2015 22:45;0;0;0
02.09.2015 23:00;0;0;0
02.09.2015 23:15;0;0;0
02.09.2015 23:30;0;0;0
02.09.2015 23:45;0;0;0
03.09.2015 00:00;0;0;0
03.09.2015 00:15;0;0;0
03.09.2015 00:30;0;0;0
03.09.2015 00:45;0;0;0
03.09.2015 01:00;0;0;0
03.09.2015 01:15;0;0;0
03.09.2015 01:30;0;0;0
03.09.2015 01:45;0;0;0
03.09.2015 02:00;0;0;0
03.09.2015 02:15;0;0;0
03.09.2015 02:30;0;0;0
03.09.2015 02:45;0;0;0
03.09.2015 03:00;0;0;0
03.09.2015 03:15;0;0;0
03.09.2015 03:30;0;0;0
03.09.2015 03:45;0;0;0
03.09.2015 04:00;0;0;0
03.09.2015 04:15;0;0;0
03.09.2015 04:30;0;0;0
03.09.2015 04:45;0;0;0
03.09.2015 05:00;0;0;0
03.09.2015 05:15;0;0;0
03.09.2015 05:30;0;0;0
03.09.2015 05:45;0;0;0
03.09.2015 06:00;0;0;0
03.09.2015 06:15;0;0;0
03.09.2015 06:30;0;0;0
03.09.2015 06:45;0;0;0
03.09.2015 07:00;0;0;0
03.09.2015 07:15;18;26;17.08389
03.09.2015 07:30;18;26;17.08389
03.09.2015 07:45;18;26;17.08389
03.09.2015 08:00;18;26;17.08389
03.09.2015 08:15;91.3;122;88.60896
03.09.2015 08:30;91.3;122;88.60896
03.09.2015 08:45;91.3;122;88.60896
03.09.2015 09:00;91.3;122;88.60896
03.09.2015 09:15;177.6;221;176.37856
03.09.2015 09:30;177.6;221;176.37856
03.09.2015 09:45;177.6;221;176.37856
03.09.2015 10:00;177.6;221;176.37856
03.09.2015 10:15;373.85;326;339.28221
03.09.2015 10:30;373.85;326;339.28221
03.09.2015 10:45;373.85;326;339.28221
03.09.2015 11:00;373.85;326;339.28221
03.09.2015 11:15;536.55;461;492.54411
03.09.2015 11:30;536.55;461;492.54411
03.09.2015 11:45;536.55;461;492.54411
03.09.2015 12:00;536.55;461;492.54411
03.09.2015 12:15;592;547;589.00737
03.09.2015 12:30;592;547;589.00737
03.09.2015 12:45;592;547;589.00737
03.09.2015 13:00;592;547;589.00737
03.09.2015 13:15;399.15;445;563.88706
03.09.2015 13:30;399.15;445;563.88706
03.09.2015 13:45;399.15;445;563.88706
03.09.2015 14:00;399.15;445;563.88706
03.09.2015 14:15;99.75;420;380.47788
03.09.2015 14:30;99.75;420;380.47788
03.09.2015 14:45;99.75;420;380.47788
03.09.2015 15:00;99.75;420;380.47788
03.09.2015 15:15;233;380;273.82302
03.09.2015 15:30;233;380;273.82302
03.09.2015 15:45;233;380;273.82302
03.09.2015 16:00;233;380;273.82302
03.09.2015 16:15;119.45;180;217.04997
03.09.2015 16:30;119.45;180;217.04997
03.09.2015 16:45;119.45;180;217.04997
03.09.2015 17:00;119.45;180;217.04997
03.09.2015 17:15;309.8;163;174.43175
03.09.2015 17:30;309.8;163;174.43175
03.09.2015 17:45;309.8;163;174.43175
03.09.2015 18:00;309.8;163;174.43175
03.09.2015 18:15;43.4;70;105.38968
03.09.2015 18:30;43.4;70;105.38968
03.09.2015 18:45;43.4;70;105.38968
03.09.2015 19:00;43.4;70;105.38968
03.09.2015 19:15;5.9;23;13.09375
03.09.2015 19:30;5.9;23;13.09375
03.09.2015 19:45;5.9;23;13.09375
03.09.2015 20:00;5.9;23;13.09375
03.09.2015 20:15;0;0;0
03.09.2015 20:30;0;0;0
03.09.2015 20:45;0;0;0
03.09.2015 21:00;0;0;0
03.09.2015 21:15;0;0;0
03.09.2015 21:30;0;0;0
03.09.2015 21:45;0;0;0
03.09.2015 22:00;0;0;0
03.09.2015 22:15;0;0;0
03.09.2015 22:30;0;0;0
03.09.2015 22:45;0;0;0
03.09.2015 23:00;0;0;0
03.09.2015 23:15;0;0;0
03.09.2015 23:30;0;0;0
03.09.2015 23:45;0;0;0
04.09.2015 00:00;0;0;0
04.09.2015 00:15;0;0;0
04.09.2015 00:30;0;0;0
04.09.2015 00:45;0;0;0
04.09.2015 01:00;0;0;0
04.09.2015 01:15;0;0;0
04.09.2015 01:30;0;0;0
04.09.2015 01:45;0;0;0
04.09.2015 02:00;0;0;0
04.09.2015 02:15;0;0;0
04.09.2015 02:30;0;0;0
04.09.2015 02:45;0;0;0
04.09.2015 03:00;0;0;0
04.09.2015 03:15;0;0;0
04.09.2015 03:30;0;0;0
04.09.2015 03:45;0;0;0
04.09.2015 04:00;0;0;0
04.09.2015 04:15;0;0;0
04.09.2015 04:30;0;0;0
04.09.2015 04:45;0;0;0
04.09.2015 05:00;0;0;0
04.09.2015 05:15;0;0;0
04.09.2015 05:30;0;0;0
04.09.2015 05:45;0;0;0
04.09.2015 06:00;0;0;0
04.09.2015 06:15;0;0;0
04.09.2015 06:30;0;0;0
04.09.2015 06:45;0;0;0
04.09.2015 07:00;0;0;0
04.09.2015 07:15;17;20;16.25562
04.09.2015 07:30;17;20;16.25562
04.09.2015 07:45;17;20;16.25562
04.09.2015 08:00;17;20;16.25562
04.09.2015 08:15;81;101;62.78711
04.09.2015 08:30;81;101;62.78711
04.09.2015 08:45;81;101;62.78711
04.09.2015 09:00;81;101;62.78711
04.09.2015 09:15;273.35;220;179.59641
04.09.2015 09:30;273.35;220;179.59641
04.09.2015 09:45;273.35;220;179.59641
04.09.2015 10:00;273.35;220;179.59641
04.09.2015 10:15;381;310;292.76369
04.09.2015 10:30;381;310;292.76369
04.09.2015 10:45;381;310;292.76369
04.09.2015 11:00;381;310;292.76369
04.09.2015 11:15;423.45;344;343.86903
04.09.2015 11:30;423.45;344;343.86903
04.09.2015 11:45;423.45;344;343.86903
04.09.2015 12:00;423.45;344;343.86903
04.09.2015 12:15;327.7;281;369.61006
04.09.2015 12:30;327.7;281;369.61006
04.09.2015 12:45;327.7;281;369.61006
04.09.2015 13:00;327.7;281;369.61006
04.09.2015 13:15;344.7;269;361.49609
04.09.2015 13:30;344.7;269;361.49609
04.09.2015 13:45;344.7;269;361.49609
04.09.2015 14:00;344.7;269;361.49609
04.09.2015 14:15;115.35;284;479.03018
04.09.2015 14:30;115.35;284;479.03018
04.09.2015 14:45;115.35;284;479.03018
04.09.2015 15:00;115.35;284;479.03018
04.09.2015 15:15;124;260;261.24989
04.09.2015 15:30;124;260;261.24989
04.09.2015 15:45;124;260;261.24989
04.09.2015 16:00;124;260;261.24989
04.09.2015 16:15;153.8;155;163.43897
04.09.2015 16:30;153.8;155;163.43897
04.09.2015 16:45;153.8;155;163.43897
04.09.2015 17:00;153.8;155;163.43897
04.09.2015 17:15;138.35;140;169.17748
04.09.2015 17:30;138.35;140;169.17748
04.09.2015 17:45;138.35;140;169.17748
04.09.2015 18:00;138.35;140;169.17748
04.09.2015 18:15;117.2;80;94.69832
04.09.2015 18:30;117.2;80;94.69832
04.09.2015 18:45;117.2;80;94.69832
04.09.2015 19:00;117.2;80;94.69832
04.09.2015 19:15;33.25;25;31.92484
04.09.2015 19:30;33.25;25;31.92484
04.09.2015 19:45;33.25;25;31.92484
04.09.2015 20:00;33.25;25;31.92484
04.09.2015 20:15;0;0;0.462
04.09.2015 20:30;0;0;0.462
04.09.2015 20:45;0;0;0.462
04.09.2015 21:00;0;0;0.462
04.09.2015 21:15;0;0;0
04.09.2015 21:30;0;0;0
04.09.2015 21:45;0;0;0
04.09.2015 22:00;0;0;0
04.09.2015 22:15;0;0;0
04.09.2015 22:30;0;0;0
04.09.2015 22:45;0;0;0
04.09.2015 23:00;0;0;0
04.09.2015 23:15;0;0;0
04.09.2015 23:30;0;0;0
04.09.2015 23:45;0;0;0
05.09.2015 00:00;0;0;0
05.09.2015 00:15;0;0;0
05.09.2015 00:30;0;0;0
05.09.2015 00:45;0;0;0
05.09.2015 01:00;0;0;0
05.09.2015 01:15;0;0;0
05.09.2015 01:30;0;0;0
05.09.2015 01:45;0;0;0
05.09.2015 02:00;0;0;0
05.09.2015 02:15;0;0;0
05.09.2015 02:30;0;0;0
05.09.2015 02:45;0;0;0
05.09.2015 03:00;0;0;0
05.09.2015 03:15;0;0;0
05.09.2015 03:30;0;0;0
05.09.2015 03:45;0;0;0
05.09.2015 04:00;0;0;0
05.09.2015 04:15;0;0;0
05.09.2015 04:30;0;0;0
05.09.2015 04:45;0;0;0
05.09.2015 05:00;0;0;0
05.09.2015 05:15;0;0;0
05.09.2015 05:30;0;0;0
05.09.2015 05:45;0;0;0
05.09.2015 06:00;0;0;0
05.09.2015 06:15;0;0;0
05.09.2015 06:30;0;0;0
05.09.2015 06:45;0;0;0
05.09.2015 07:00;0;0;0
05.09.2015 07:15;18;14;16.58283
05.09.2015 07:30;18;14;16.58283
05.09.2015 07:45;18;14;16.58283
05.09.2015 08:00;18;14;16.58283
05.09.2015 08:15;53.65;78;65.42132
05.09.2015 08:30;53.65;78;65.42132
05.09.2015 08:45;53.65;78;65.42132
05.09.2015 09:00;53.65;78;65.42132
05.09.2015 09:15;151;171;145.97226
05.09.2015 09:30;151;171;145.97226
05.09.2015 09:45;151;171;145.97226
05.09.2015 10:00;151;171;145.97226
05.09.2015 10:15;176.75;263;207.85723
05.09.2015 10:30;176.75;263;207.85723
05.09.2015 10:45;176.75;263;207.85723
05.09.2015 11:00;176.75;263;207.85723
05.09.2015 11:15;248;300;272.87702
05.09.2015 11:30;248;300;272.87702
05.09.2015 11:45;248;300;272.87702
05.09.2015 12:00;248;300;272.87702
05.09.2015 12:15;424.4;287;257.15974
05.09.2015 12:30;424.4;287;257.15974
05.09.2015 12:45;424.4;287;257.15974
05.09.2015 13:00;424.4;287;257.15974
05.09.2015 13:15;146;241;278.0304
05.09.2015 13:30;146;241;278.0304
05.09.2015 13:45;146;241;278.0304
05.09.2015 14:00;146;241;278.0304
05.09.2015 14:15;139;133;196.55561
05.09.2015 14:30;139;133;196.55561
05.09.2015 14:45;139;133;196.55561
05.09.2015 15:00;139;133;196.55561
05.09.2015 15:15;75.7;136;188.52389
05.09.2015 15:30;75.7;136;188.52389
05.09.2015 15:45;75.7;136;188.52389
05.09.2015 16:00;75.7;136;188.52389
05.09.2015 16:15;121;146;109.27477
05.09.2015 16:30;121;146;109.27477
05.09.2015 16:45;121;146;109.27477
05.09.2015 17:00;121;146;109.27477
05.09.2015 17:15;104.7;137;72.08814
05.09.2015 17:30;104.7;137;72.08814
05.09.2015 17:45;104.7;137;72.08814
05.09.2015 18:00;104.7;137;72.08814
05.09.2015 18:15;83;87;43.11686
05.09.2015 18:30;83;87;43.11686
05.09.2015 18:45;83;87;43.11686
05.09.2015 19:00;83;87;43.11686
05.09.2015 19:15;41;38;17.65247
05.09.2015 19:30;41;38;17.65247
05.09.2015 19:45;41;38;17.65247
05.09.2015 20:00;41;38;17.65247
05.09.2015 20:15;2.25;0.2151;0.3504
05.09.2015 20:30;2.25;0.2151;0.3504
05.09.2015 20:45;2.25;0.2151;0.3504
05.09.2015 21:00;2.25;0.2151;0.3504
05.09.2015 21:15;0;0;0
05.09.2015 21:30;0;0;0
05.09.2015 21:45;0;0;0
05.09.2015 22:00;0;0;0
05.09.2015 22:15;0;0;0
05.09.2015 22:30;0;0;0
05.09.2015 22:45;0;0;0
05.09.2015 23:00;0;0;0
05.09.2015 23:15;0;0;0
05.09.2015 23:30;0;0;0
05.09.2015 23:45;0;0;0
06.09.2015 00:00;0;0;0
06.09.2015 00:15;0;0;0
06.09.2015 00:30;0;0;0
06.09.2015 00:45;0;0;0
06.09.2015 01:00;0;0;0
06.09.2015 01:15;0;0;0
06.09.2015 01:30;0;0;0
06.09.2015 01:45;0;0;0
06.09.2015 02:00;0;0;0
06.09.2015 02:15;0;0;0
06.09.2015 02:30;0;0;0
06.09.2015 02:45;0;0;0
06.09.2015 03:00;0;0;0
06.09.2015 03:15;0;0;0
06.09.2015 03:30;0;0;0
06.09.2015 03:45;0;0;0
06.09.2015 04:00;0;0;0
06.09.2015 04:15;0;0;0
06.09.2015 04:30;0;0;0
06.09.2015 04:45;0;0;0
06.09.2015 05:00;0;0;0
06.09.2015 05:15;0;0;0
06.09.2015 05:30;0;0;0
06.09.2015 05:45;0;0;0
06.09.2015 06:00;0;0;0
06.09.2015 06:15;0;0;0
06.09.2015 06:30;0;0;0
06.09.2015 06:45;0;0;0
06.09.2015 07:00;0;0;0
06.09.2015 07:15;14.15;15;13.03055
06.09.2015 07:30;14.15;15;13.03055
06.09.2015 07:45;14.15;15;13.03055
06.09.2015 08:00;14.15;15;13.03055
06.09.2015 08:15;75.35;102;88.15122
06.09.2015 08:30;75.35;102;88.15122
06.09.2015 08:45;75.35;102;88.15122
06.09.2015 09:00;75.35;102;88.15122
06.09.2015 09:15;172.05;192;168.59627
06.09.2015 09:30;172.05;192;168.59627
06.09.2015 09:45;172.05;192;168.59627
06.09.2015 10:00;172.05;192;168.59627
06.09.2015 10:15;335;315;284.67888
06.09.2015 10:30;335;315;284.67888
06.09.2015 10:45;335;315;284.67888
06.09.2015 11:00;335;315;284.67888
06.09.2015 11:15;257;336;326.2987
06.09.2015 11:30;257;336;326.2987
06.09.2015 11:45;257;336;326.2987
06.09.2015 12:00;257;336;326.2987
06.09.2015 12:15;486;412;378.33871
06.09.2015 12:30;486;412;378.33871
06.09.2015 12:45;486;412;378.33871
06.09.2015 13:00;486;412;378.33871
06.09.2015 13:15;333;265;355.8032
06.09.2015 13:30;333;265;355.8032
06.09.2015 13:45;333;265;355.8032
06.09.2015 14:00;333;265;355.8032
06.09.2015 14:15;288.9;289;294.39795
06.09.2015 14:30;288.9;289;294.39795
06.09.2015 14:45;288.9;289;294.39795
06.09.2015 15:00;288.9;289;294.39795
06.09.2015 15:15;278;315;277.90393
06.09.2015 15:30;278;315;277.90393
06.09.2015 15:45;278;315;277.90393
06.09.2015 16:00;278;315;277.90393
06.09.2015 16:15;281;275;270.40061
06.09.2015 16:30;281;275;270.40061
06.09.2015 16:45;281;275;270.40061
06.09.2015 17:00;281;275;270.40061
06.09.2015 17:15;332;232;193.00117
06.09.2015 17:30;332;232;193.00117
06.09.2015 17:45;332;232;193.00117
06.09.2015 18:00;332;232;193.00117
06.09.2015 18:15;119.6;102;101.92693
06.09.2015 18:30;119.6;102;101.92693
06.09.2015 18:45;119.6;102;101.92693
06.09.2015 19:00;119.6;102;101.92693
06.09.2015 19:15;29;27;30.06196
06.09.2015 19:30;29;27;30.06196
06.09.2015 19:45;29;27;30.06196
06.09.2015 20:00;29;27;30.06196
06.09.2015 20:15;0;0.2408;0
06.09.2015 20:30;0;0.2408;0
06.09.2015 20:45;0;0.2408;0
06.09.2015 21:00;0;0.2408;0
06.09.2015 21:15;0;0;0
06.09.2015 21:30;0;0;0
06.09.2015 21:45;0;0;0
06.09.2015 22:00;0;0;0
06.09.2015 22:15;0;0;0
06.09.2015 22:30;0;0;0
06.09.2015 22:45;0;0;0
06.09.2015 23:00;0;0;0
06.09.2015 23:15;0;0;0
06.09.2015 23:30;0;0;0
06.09.2015 23:45;0;0;0
07.09.2015 00:00;0;0;0
07.09.2015 00:15;0;0;0
07.09.2015 00:30;0;0;0
07.09.2015 00:45;0;0;0
07.09.2015 01:00;0;0;0
07.09.2015 01:15;0;0;0
07.09.2015 01:30;0;0;0
07.09.2015 01:45;0;0;0
07.09.2015 02:00;0;0;0
07.09.2015 02:15;0;0;0
07.09.2015 02:30;0;0;0
07.09.2015 02:45;0;0;0
07.09.2015 03:00;0;0;0
07.09.2015 03:15;0;0;0
07.09.2015 03:30;0;0;0
07.09.2015 03:45;0;0;0
07.09.2015 04:00;0;0;0
07.09.2015 04:15;0;0;0
07.09.2015 04:30;0;0;0
07.09.2015 04:45;0;0;0
07.09.2015 05:00;0;0;0
07.09.2015 05:15;0;0;0
07.09.2015 05:30;0;0;0
07.09.2015 05:45;0;0;0
07.09.2015 06:00;0;0;0
07.09.2015 06:15;0;0;0
07.09.2015 06:30;0;0;0
07.09.2015 06:45;0;0;0
07.09.2015 07:00;0;0;0
07.09.2015 07:15;8;7;4.30343
07.09.2015 07:30;8;7;4.30343
07.09.2015 07:45;8;7;4.30343
07.09.2015 08:00;8;7;4.30343
07.09.2015 08:15;55.3;52;33.48111
07.09.2015 08:30;55.3;52;33.48111
07.09.2015 08:45;55.3;52;33.48111
07.09.2015 09:00;55.3;52;33.48111
07.09.2015 09:15;145.75;89;100.29561
07.09.2015 09:30;145.75;89;100.29561
07.09.2015 09:45;145.75;89;100.29561
07.09.2015 10:00;145.75;89;100.29561
07.09.2015 10:15;128.8;133;150.69021
07.09.2015 10:30;128.8;133;150.69021
07.09.2015 10:45;128.8;133;150.69021
07.09.2015 11:00;128.8;133;150.69021
07.09.2015 11:15;195;187;175.41258
07.09.2015 11:30;195;187;175.41258
07.09.2015 11:45;195;187;175.41258
07.09.2015 12:00;195;187;175.41258
07.09.2015 12:15;177;223;190.25471
07.09.2015 12:30;177;223;190.25471
07.09.2015 12:45;177;223;190.25471
07.09.2015 13:00;177;223;190.25471
07.09.2015 13:15;246;274;270.59088
07.09.2015 13:30;246;274;270.59088
07.09.2015 13:45;246;274;270.59088
07.09.2015 14:00;246;274;270.59088
07.09.2015 14:15;286;211;277.32756
07.09.2015 14:30;286;211;277.32756
07.09.2015 14:45;286;211;277.32756
07.09.2015 15:00;286;211;277.32756
07.09.2015 15:15;216.15;193;178.8371
07.09.2015 15:30;216.15;193;178.8371
07.09.2015 15:45;216.15;193;178.8371
07.09.2015 16:00;216.15;193;178.8371
07.09.2015 16:15;194;189;136.09889
07.09.2015 16:30;194;189;136.09889
07.09.2015 16:45;194;189;136.09889
07.09.2015 17:00;194;189;136.09889
07.09.2015 17:15;136;150;155.27911
07.09.2015 17:30;136;150;155.27911
07.09.2015 17:45;136;150;155.27911
07.09.2015 18:00;136;150;155.27911
07.09.2015 18:15;95.15;81;66.88235
07.09.2015 18:30;95.15;81;66.88235
07.09.2015 18:45;95.15;81;66.88235
07.09.2015 19:00;95.15;81;66.88235
07.09.2015 19:15;25;16;15.97129
07.09.2015 19:30;25;16;15.97129
07.09.2015 19:45;25;16;15.97129
07.09.2015 20:00;25;16;15.97129
07.09.2015 20:15;0;0;0
07.09.2015 20:30;0;0;0
07.09.2015 20:45;0;0;0
07.09.2015 21:00;0;0;0
07.09.2015 21:15;0;0;0
07.09.2015 21:30;0;0;0
07.09.2015 21:45;0;0;0
07.09.2015 22:00;0;0;0
07.09.2015 22:15;0;0;0
07.09.2015 22:30;0;0;0
07.09.2015 22:45;0;0;0
07.09.2015 23:00;0;0;0
07.09.2015 23:15;0;0;0
07.09.2015 23:30;0;0;0
07.09.2015 23:45;0;0;0
08.09.2015 00:00;0;0;0
08.09.2015 00:15;0;0;0
08.09.2015 00:30;0;0;0
08.09.2015 00:45;0;0;0
08.09.2015 01:00;0;0;0
08.09.2015 01:15;0;0;0
08.09.2015 01:30;0;0;0
08.09.2015 01:45;0;0;0
08.09.2015 02:00;0;0;0
08.09.2015 02:15;0;0;0
08.09.2015 02:30;0;0;0
08.09.2015 02:45;0;0;0
08.09.2015 03:00;0;0;0
08.09.2015 03:15;0;0;0
08.09.2015 03:30;0;0;0
08.09.2015 03:45;0;0;0
08.09.2015 04:00;0;0;0
08.09.2015 04:15;0;0;0
08.09.2015 04:30;0;0;0
08.09.2015 04:45;0;0;0
08.09.2015 05:00;0;0;0
08.09.2015 05:15;0;0;0
08.09.2015 05:30;0;0;0
08.09.2015 05:45;0;0;0
08.09.2015 06:00;0;0;0
08.09.2015 06:15;0;0;0
08.09.2015 06:30;0;0;0
08.09.2015 06:45;0;0;0
08.09.2015 07:00;0;0;0
08.09.2015 07:15;8.95;8;12.64575
08.09.2015 07:30;8.95;8;12.64575
08.09.2015 07:45;8.95;8;12.64575
08.09.2015 08:00;8.95;8;12.64575
08.09.2015 08:15;44;72;72.80593
08.09.2015 08:30;44;72;72.80593
08.09.2015 08:45;44;72;72.80593
08.09.2015 09:00;44;72;72.80593
08.09.2015 09:15;132.3;130;160.0843
08.09.2015 09:30;132.3;130;160.0843
