;BELPEX SPOT BE
01-01-12 01:00;23.64
01-01-12 02:00;19.03
01-01-12 03:00;15
01-01-12 04:00;11.96
01-01-12 05:00;9.49
01-01-12 06:00;-0.01
01-01-12 07:00;-0.08
01-01-12 08:00;-0.03
01-01-12 09:00;9.75
01-01-12 10:00;12.24
01-01-12 11:00;15.82
01-01-12 12:00;21.04
01-01-12 13:00;17.43
01-01-12 14:00;10.99
01-01-12 15:00;10.82
01-01-12 16:00;10.31
01-01-12 17:00;21.78
01-01-12 18:00;26.52
01-01-12 19:00;30.34
01-01-12 20:00;26.4
01-01-12 21:00;22.96
01-01-12 22:00;25.26
01-01-12 23:00;17.2
02-01-12 00:00;11.17
02-01-12 01:00;10.82
02-01-12 02:00;0.01
02-01-12 03:00;-5.03
02-01-12 04:00;-1.48
02-01-12 05:00;3.96
02-01-12 06:00;15.97
02-01-12 07:00;26.61
02-01-12 08:00;29.75
02-01-12 09:00;30.5
02-01-12 10:00;32.45
02-01-12 11:00;34.85
02-01-12 12:00;38.66
02-01-12 13:00;33.19
02-01-12 14:00;30.03
02-01-12 15:00;30.23
02-01-12 16:00;29.93
02-01-12 17:00;39.89
02-01-12 18:00;47.07
02-01-12 19:00;44.88
02-01-12 20:00;34.86
02-01-12 21:00;30.38
02-01-12 22:00;30.92
02-01-12 23:00;29.49
03-01-12 00:00;24.77
03-01-12 01:00;22.35
03-01-12 02:00;14.91
03-01-12 03:00;10.27
03-01-12 04:00;9.99
03-01-12 05:00;16.88
03-01-12 06:00;34.89
03-01-12 07:00;46.67
03-01-12 08:00;47.02
03-01-12 09:00;44.53
03-01-12 10:00;43.75
03-01-12 11:00;41.84
03-01-12 12:00;39.59
03-01-12 13:00;38.04
03-01-12 14:00;35.78
03-01-12 15:00;33.74
03-01-12 16:00;31.81
03-01-12 17:00;41.55
03-01-12 18:00;46.76
03-01-12 19:00;42.47
03-01-12 20:00;35.17
03-01-12 21:00;28.62
03-01-12 22:00;28.44
03-01-12 23:00;23.68
04-01-12 00:00;18.91
04-01-12 01:00;14.33
04-01-12 02:00;10.9
04-01-12 03:00;10.09
04-01-12 04:00;9.98
04-01-12 05:00;10.99
04-01-12 06:00;20.44
04-01-12 07:00;39.88
04-01-12 08:00;43.89
04-01-12 09:00;45.41
04-01-12 10:00;45.91
04-01-12 11:00;48.54
04-01-12 12:00;46.91
04-01-12 13:00;45
04-01-12 14:00;42.77
04-01-12 15:00;41.84
04-01-12 16:00;44.83
04-01-12 17:00;55.33
04-01-12 18:00;60.3
04-01-12 19:00;53.2
04-01-12 20:00;41.49
04-01-12 21:00;31.51
04-01-12 22:00;30.58
04-01-12 23:00;26.16
05-01-12 00:00;22.87
05-01-12 01:00;17
05-01-12 02:00;18.17
05-01-12 03:00;10.19
05-01-12 04:00;10.1
05-01-12 05:00;11.1
05-01-12 06:00;27.59
05-01-12 07:00;39.76
05-01-12 08:00;42.76
05-01-12 09:00;40.61
05-01-12 10:00;40.53
05-01-12 11:00;40.35
05-01-12 12:00;40.91
05-01-12 13:00;39.92
05-01-12 14:00;39.26
05-01-12 15:00;36.99
05-01-12 16:00;35.57
05-01-12 17:00;42.64
05-01-12 18:00;47.61
05-01-12 19:00;42.63
05-01-12 20:00;40
05-01-12 21:00;31.26
05-01-12 22:00;34.46
05-01-12 23:00;32.3
06-01-12 00:00;23.04
06-01-12 01:00;19.81
06-01-12 02:00;11.19
06-01-12 03:00;10.19
06-01-12 04:00;10.98
06-01-12 05:00;15.82
06-01-12 06:00;26.54
06-01-12 07:00;37.63
06-01-12 08:00;43
06-01-12 09:00;44.45
06-01-12 10:00;44.66
06-01-12 11:00;48.03
06-01-12 12:00;47.94
06-01-12 13:00;42.03
06-01-12 14:00;42.15
06-01-12 15:00;42.06
06-01-12 16:00;44.13
06-01-12 17:00;65.72
06-01-12 18:00;80
06-01-12 19:00;57.96
06-01-12 20:00;49.78
06-01-12 21:00;43
06-01-12 22:00;43.65
06-01-12 23:00;39.19
07-01-12 00:00;34.86
07-01-12 01:00;30.64
07-01-12 02:00;28.39
07-01-12 03:00;24.18
07-01-12 04:00;17.87
07-01-12 05:00;15.05
07-01-12 06:00;20.93
07-01-12 07:00;29.46
07-01-12 08:00;35.31
07-01-12 09:00;39.57
07-01-12 10:00;40.44
07-01-12 11:00;40.01
07-01-12 12:00;41.03
07-01-12 13:00;40.57
07-01-12 14:00;36.37
07-01-12 15:00;34.92
07-01-12 16:00;36.13
07-01-12 17:00;41.58
07-01-12 18:00;50.32
07-01-12 19:00;46.21
07-01-12 20:00;39.36
07-01-12 21:00;31.64
07-01-12 22:00;36.67
07-01-12 23:00;34.99
08-01-12 00:00;24.59
08-01-12 01:00;19.93
08-01-12 02:00;18.76
08-01-12 03:00;14.71
08-01-12 04:00;12.09
08-01-12 05:00;12.59
08-01-12 06:00;13.61
08-01-12 07:00;18.59
08-01-12 08:00;18.4
08-01-12 09:00;26.33
08-01-12 10:00;33.74
08-01-12 11:00;38.05
08-01-12 12:00;39.24
08-01-12 13:00;35
08-01-12 14:00;33.29
08-01-12 15:00;32.38
08-01-12 16:00;29.4
08-01-12 17:00;46.03
08-01-12 18:00;54.3
08-01-12 19:00;55.01
08-01-12 20:00;46.5
08-01-12 21:00;39.94
08-01-12 22:00;44.63
08-01-12 23:00;37.44
09-01-12 00:00;34.97
09-01-12 01:00;33.43
09-01-12 02:00;32.74
09-01-12 03:00;28.61
09-01-12 04:00;26.72
09-01-12 05:00;36.13
09-01-12 06:00;43.02
09-01-12 07:00;55.36
09-01-12 08:00;58.01
09-01-12 09:00;58.72
09-01-12 10:00;56.48
09-01-12 11:00;56.04
09-01-12 12:00;55.7
09-01-12 13:00;54.84
09-01-12 14:00;52.32
09-01-12 15:00;50.72
09-01-12 16:00;51.57
09-01-12 17:00;57.02
09-01-12 18:00;61.27
09-01-12 19:00;53.2
09-01-12 20:00;47.31
09-01-12 21:00;42
09-01-12 22:00;42.19
09-01-12 23:00;41.34
10-01-12 00:00;36.41
10-01-12 01:00;34.59
10-01-12 02:00;31.65
10-01-12 03:00;28.06
10-01-12 04:00;30.5
10-01-12 05:00;33.82
10-01-12 06:00;39.82
10-01-12 07:00;47.99
10-01-12 08:00;52.96
10-01-12 09:00;51.06
10-01-12 10:00;51.06
10-01-12 11:00;53
10-01-12 12:00;52.21
10-01-12 13:00;52.96
10-01-12 14:00;51.99
10-01-12 15:00;49.83
10-01-12 16:00;49.16
10-01-12 17:00;61.18
10-01-12 18:00;61.18
10-01-12 19:00;56.79
10-01-12 20:00;48
10-01-12 21:00;42.74
10-01-12 22:00;42.93
10-01-12 23:00;39.67
11-01-12 00:00;40.09
11-01-12 01:00;35.92
11-01-12 02:00;34.08
11-01-12 03:00;29.41
11-01-12 04:00;30.11
11-01-12 05:00;36.11
11-01-12 06:00;44
11-01-12 07:00;52
11-01-12 08:00;51.91
11-01-12 09:00;51.96
11-01-12 10:00;51.43
11-01-12 11:00;51.99
11-01-12 12:00;51.56
11-01-12 13:00;50.39
11-01-12 14:00;49.03
11-01-12 15:00;50.92
11-01-12 16:00;49.09
11-01-12 17:00;60.2
11-01-12 18:00;70.99
11-01-12 19:00;62.31
11-01-12 20:00;56.18
11-01-12 21:00;47.93
11-01-12 22:00;47.91
11-01-12 23:00;43.09
12-01-12 00:00;40.42
12-01-12 01:00;38.77
12-01-12 02:00;38.02
12-01-12 03:00;35.19
12-01-12 04:00;29.21
12-01-12 05:00;36.11
12-01-12 06:00;45.21
12-01-12 07:00;52.99
12-01-12 08:00;56.42
12-01-12 09:00;53.36
12-01-12 10:00;54.14
12-01-12 11:00;55.18
12-01-12 12:00;53.02
12-01-12 13:00;51
12-01-12 14:00;45.2
12-01-12 15:00;42.43
12-01-12 16:00;43.39
12-01-12 17:00;56.18
